ABHD12,AGR2,AR-1,AR-2,CBLN2,COL6A3-1,COL6A3-2,COL6A3-3,EIF2B5-1,EIF2B5-2,GFM1,KLK3_1,MAD1L1-1,MAD1L1-2,MAD1L1-3,MAD1L1-4,MAD1L1-5,MAD1L1-6,MAD1L1-7,MAD1L1-8,MAD1L1-9,MAD1L1-10,MAD1L1-11,NAALADL2-1,NAALADL2-2,NAALADL2-3,NAALADL2-4,NAALADL2-5,NAALADL2-6,NAALADL2-7,NAALADL2-8,NAALADL2-9,NAALADL2-10,NAALADL2-11,NAALADL2-12,NAALADL2-13,NAALADL2-14,NAALADL2-15,NAALADL2-16,NAALADL2-17,NAALADL2-18,NAALADL2-19,NAALADL2-20,NAALADL2-21,NAALADL2-22,NDUFB11,NT5DC1-1,NT5DC1-2,SEC61A1-1,SEC61A1-2,SLC25A36,SLC26A2,STIL-1,STIL-2,STIL-3,TMPRSS2,TSPAN13-1,TSPAN13-2,B_Ca,Loc_Met
314.994385,141.210403,429.728394,329.330017,23.555214,1169.776978,218.512207,175.446243,306.311768,53.144131,34.628948,462.503204,201.937042,133.042358,287.054474,205.810638,164.55304,35.657505,38.529198,6005.818848,232.968597,136.559586,26.351746,44.795589,339.162933,282.838959,154.335159,731.009827,3070.80127,287.927551,389.935669,298.167206,83.943237,435.593109,54.892281,108.828087,58.486214,1557.393066,150.628052,200.11145,88.165237,197.726044,822.725525,267.684662,39.684109,160.246994,143.01445,156.278564,245.737808,222.811722,189.801056,660.005249,72.71254,38.361122,72.433716,105.095238,553.118164,37.810551,Ca,Loc
694.487427,304.463776,463.369202,305.079773,30.108772,541.350525,241.105713,412.132751,249.251526,66.882637,58.820915,334.534698,300.904724,200.460861,315.342957,141.306961,196.50827,77.417351,71.961838,6740.167969,247.658569,243.385803,49.991089,88.119186,72.829285,161.911499,392.001679,298.605865,2070.804443,427.206024,185.725922,192.382416,139.888534,1148.299072,90.102684,213.108643,103.83638,1360.021973,610.34375,266.592255,237.838364,189.58194,653.937073,274.298981,126.370773,191.89299,280.459778,67.347992,334.011658,450.038727,306.599304,296.887665,170.187058,62.241436,93.764069,236.543243,329.098969,26.126205,Ca,Loc
564.418152,173.934647,759.025818,342.066773,37.562969,868.847595,190.852234,267.501221,247.390289,54.631451,28.009687,429.425781,477.402222,179.075363,293.998932,165.16098,196.985092,42.212116,45.831352,5901.662598,172.013916,132.047638,43.459446,54.235569,107.417152,193.763519,247.969559,488.234161,2398.807617,395.106995,296.277802,303.597992,96.463898,752.354797,42.065208,134.722183,48.05093,1197.908569,359.308014,196.309403,118.353806,230.179153,803.859131,355.163666,84.446175,146.13443,170.537323,66.990707,261.629456,322.236267,229.152008,472.60907,111.495819,40.890686,82.276237,140.24266,436.59787,25.976688,Ca,Loc
474.160492,217.577499,531.335571,306.432037,34.137047,405.177795,272.060913,268.769348,271.186676,52.385162,35.534683,391.359558,360.685699,149.647873,349.068481,176.822525,195.929275,50.703835,48.650414,5839.122559,272.725281,152.103821,45.135944,61.901482,105.580406,149.484955,240.976807,297.026672,2392.356201,347.371246,334.369354,358.642364,148.408249,684.85321,58.597645,137.781067,85.938728,1083.972534,307.289581,327.054993,150.056015,183.180893,748.150818,313.369873,102.673401,195.431992,187.537933,90.159142,278.477508,332.529907,221.759399,396.756592,124.739243,44.609402,109.183563,156.632004,475.946716,29.637566,Ca,Loc
559.649353,241.408051,471.644226,327.763672,30.589302,693.521057,275.121552,357.666443,206.451141,62.670197,41.675125,398.737213,480.410126,140.794128,378.548554,138.347717,194.944107,54.823883,56.654011,5961.70166,282.000641,151.387421,40.162636,63.599133,95.684425,188.638672,274.343964,330.729004,2777.092529,358.05954,331.461822,280.440735,128.417694,797.304443,63.006378,120.753578,66.758919,1133.322388,319.338623,303.014374,152.400543,209.978241,802.616577,292.820343,94.272469,214.79715,201.788071,85.356613,268.985321,341.864807,230.875214,422.818512,135.488846,52.165039,108.608208,160.900162,434.548492,24.899359,Ca,Loc
558.014404,256.099121,422.730438,297.700104,36.157196,345.344421,240.804993,376.961731,248.328323,56.778023,55.031384,396.779266,344.85376,160.900375,346.214966,163.147812,175.136749,65.279427,70.839966,5339.990723,267.727356,225.137192,50.139744,67.837234,120.232369,152.288895,293.572998,243.970306,2093.129639,339.110474,277.21817,242.756927,193.958557,764.095642,89.039505,168.276138,118.776253,1244.883545,409.061005,254.143906,171.267593,191.132752,693.523438,260.839752,124.363197,214.675858,201.923401,71.880959,285.322571,367.650726,264.661713,328.033691,138.096191,56.422623,93.099815,185.982178,618.761047,32.21817,Ca,Loc
473.861145,260.456085,387.76355,316.238769,24.760014,390.68335,173.198685,352.160217,241.046646,67.531166,60.640736,393.89386,357.617401,135.930527,259.597473,156.534241,169.054748,56.474869,67.403809,6871.333984,262.668854,161.11351,45.035007,75.974319,119.688889,140.560822,278.851013,331.906067,2275.951172,346.795654,271.266785,271.320068,143.814484,644.531799,68.34742,152.903122,71.748261,1206.549072,490.576111,232.44899,212.961914,235.212479,807.640564,291.357544,92.769531,179.236816,192.021515,67.814247,270.875183,345.384827,285.723206,494.988281,127.803291,55.535618,116.796471,177.845856,635.668884,29.149763,Ca,Loc
517.925476,234.98111,605.435364,375.699463,31.416702,405.885651,246.215027,347.048279,267.111389,61.699524,38.509289,383.223144,459.625427,145.168365,301.621613,146.260422,166.526337,57.558769,49.204216,6237.935059,261.611176,196.769013,43.590771,60.1605,99.340149,198.990356,283.538971,285.315247,2342.866455,411.330475,256.504425,304.477173,116.687332,834.410644,65.072853,128.108704,64.1334,1229.898682,340.086762,272.177002,156.352829,213.573334,921.429627,314.099029,86.627136,178.957718,195.122849,77.497917,268.169983,338.604828,250.640381,417.615662,124.918175,54.71159,91.522995,155.458099,687.305542,31.640984,Ca,Loc
486.393768,285.647888,351.858765,257.795715,26.671473,528.702576,158.390884,450.781097,185.625183,72.443291,45.31953,376.079742,438.818756,146.488068,272.584808,135.226486,163.589523,61.28162,70.790619,6409.931641,171.111252,202.043823,40.751759,72.909157,100.33519,181.456253,287.898132,270.733398,2098.659912,411.299988,242.41449,201.14183,124.887695,611.448853,105.93895,124.112755,68.952477,1193.692505,1038.305664,151.922897,178.233444,142.9431,730.045898,520.913574,106.113846,151.565491,192.693985,69.522545,233.400024,368.170349,248.407379,278.970245,127.894547,46.04295,62.852573,202.982559,441.997253,30.807056,Ca,Loc
322.465027,190.747208,282.090607,276.796631,24.172718,655.147644,211.782272,163.844452,308.188202,58.554405,33.734955,407.67804,278.773102,110.446243,211.059112,175.781723,153.253388,45.831375,34.731403,6483.295898,303.362823,139.683472,34.858807,54.31115,177.858978,235.602219,168.198852,514.962402,2574.543213,312.436523,388.178375,347.628052,88.196747,508.362213,70.203995,101.878883,68.469345,1313.398193,226.601608,265.41098,105.339577,217.128082,852.540588,267.381714,43.136024,155.432968,145.873047,116.471985,189.74736,219.904983,193.930069,661.28064,95.356064,48.008308,102.968925,123.725983,604.473389,47.55447,Ca,Loc
